Time_Step,Buy_n_Hold,DDQN,DQN,MDA2C,MDREINFORCE,DDPG
0,102600.375,100000.301,100000.301,104032.77131652832,101422.29321289062,101927.8448486328
1,103005.72,100000.665,100000.665,105042.49905395508,101863.1169281006,102198.60076904295
2,103434.15,100001.2529,100001.2529,105996.8204498291,102496.07554626463,102291.94885253906
3,103456.806,100001.1849,100001.1849,105858.73229980467,102664.0128326416,102736.39556884766
4,103921.394,100000.47,100000.47,105967.46746826172,102440.99975585938,104068.09112548828
5,102465.275,99996.87617,99996.87617,103996.61500549316,100388.14683532716,104149.60815429688
6,101371.7,99994.49631,99994.49631,102707.28268432616,100375.67808532716,103307.34741210938
7,103592.39,99994.36832,99994.36832,105560.76260375977,102854.6948852539,108921.08917236328
8,104998.06,99995.30427,99995.30427,107170.51890563963,105393.41635131836,109588.9926147461
9,104846.375,99990.66453,99990.66453,108930.45935058594,105137.0058441162,109722.15576171876
10,104898.56,99992.08344,99992.08344,108287.9386291504,105800.5347442627,109306.3250732422
11,105719.38,99995.02327,99995.02327,108531.98329162598,107385.34924316406,109725.29907226562
12,105060.42,100003.5638,100003.5638,107271.10678100586,105508.45156860352,108181.44989013672
13,106250.75,100003.3538,100003.3538,110782.46018981934,106098.67012023926,109087.98645019533
14,108028.62,100004.3288,100004.3288,115127.92309570312,105975.42109680176,110247.40997314452
15,110134.9,100004.2168,100004.2168,118427.12557983398,109653.5959625244,113098.39080810548
16,110743.24,99999.33781,99999.33781,120483.71810913086,110436.14978027344,113108.86505126952
17,110302.34,99991.07578,99991.07578,120908.08839416504,109829.19731140137,112980.04913330078
18,110512.46,100002.3808,100002.3808,119573.2151031494,110553.24092102052,113211.25122070312
19,111884.15,100003.2408,100003.2408,121881.16859436037,110993.90107727052,115555.6411743164
20,112737.39,100017.8148,100017.8148,123600.98390197754,111014.2520904541,117127.38677978516
21,110992.22,100006.4188,100006.4188,121516.29327392578,109429.86985778809,116467.40234375
22,111266.4,100003.0608,100003.0608,123560.23529052734,109156.2123413086,115167.35870361328
23,110204.2,100004.7888,100004.7888,120722.4847869873,108737.53434753418,115715.04699707033
24,111098.88,100006.0388,100006.0388,123370.5715637207,108474.8408203125,115715.97564697266
25,111515.46,100015.5548,100015.5548,123793.0101928711,107801.0655670166,115106.19903564452
26,111666.85,100028.3258,100028.3258,123718.998046875,107333.38897705078,115056.47674560548
27,112347.98,100030.1738,100030.1738,126211.25227355956,107552.28926086426,115633.01544189452
28,111788.9,100034.9588,100034.9588,123050.04560852052,108414.43156433104,116007.81463623048
29,110982.06,100031.1488,100031.1488,121886.60415649414,108029.14706420898,116165.84930419922
30,112642.55,100024.7008,100024.7008,125747.2075958252,108210.49124145508,117252.0785522461
31,111231.12,100023.1008,100023.1008,122504.21519470216,108069.13891601562,116138.67889404295
32,112170.21,100036.5318,100036.5318,123738.7947845459,108733.67086791992,116252.4234008789
33,112231.48,100048.2958,100048.2958,123006.92219543456,107867.8233795166,114757.83721923828
34,107965.45,100015.3608,100015.3608,117574.11125183104,102728.13313293456,111670.98083496094
35,110608.1,100033.9368,100033.9368,121960.4989013672,104337.55822753906,113757.04010009766
36,109347.26,100003.2638,100003.2638,120686.45936584473,103590.7424468994,114024.64752197266
37,110209.22,100002.5038,100002.5038,121961.65084838869,103714.6371459961,115450.15106201172
38,109767.64,100010.2258,100010.2258,120770.2463531494,103020.96672058104,115104.02130126952
39,110850.76,100015.8658,100015.8658,122708.74340820312,105032.45011901855,116498.07098388672
40,112637.76,100013.4878,100013.4878,125254.0910949707,109167.64347839355,119232.2592163086
41,112302.25,100007.2718,100007.2718,125515.28677368164,109375.94352722168,118146.21124267578
42,111703.74,100003.4878,100003.4878,124020.20053100586,107847.923538208,117615.29022216795
43,112689.31,100011.7598,100011.7598,125087.82919311523,108169.06059265137,118119.66400146484
44,113410.04,100030.2098,100030.2098,127435.24600219728,109217.03608703612,120226.37725830078
45,116364.1,100054.2678,100054.2678,130271.94960021973,111937.51188659668,123530.06256103516
46,117846.69,100099.1058,100099.1058,130625.22282409668,111891.80834960938,123523.9370727539
47,118990.22,100127.9538,100127.9538,132284.14321899414,114213.11660766602,125068.23516845705
48,115724.4,100127.9538,100127.9538,132284.14321899414,114213.11660766602,125068.23516845705
