Time_Step,Buy_n_Hold,DDQN,DQN,MDA2C,MDREINFORCE,DDPG
0,102600.375,100000.301,100000.301,102552.98614501952,100695.458694458,101927.8448486328
1,103005.72,100000.665,100000.665,102672.1328125,100576.96321105956,102198.60076904295
2,103434.15,100001.2529,100001.2529,102354.02850341795,101544.37995910645,102291.94885253906
3,103456.806,100001.1849,100001.1849,102036.7817993164,101995.61555480956,102736.39556884766
4,103921.394,100000.47,100000.47,103394.67041015624,102714.75325012208,104068.09112548828
5,102465.275,99996.87617,99996.87617,102983.30200195312,102166.93061828612,104149.60815429688
6,101371.7,99994.49631,99994.49631,102340.51806640624,101001.6255645752,103307.34741210938
7,103592.39,99994.36832,99994.36832,107706.4052734375,104418.06660461426,108921.08917236328
8,104998.06,99995.30427,99995.30427,108859.2123413086,104997.63984680176,109588.9926147461
9,104846.375,99990.66453,99990.66453,109921.29565429688,104665.45381164552,109722.15576171876
10,104898.56,99992.08344,99992.08344,109663.1420288086,104039.1773223877,109306.3250732422
11,105719.38,99995.02327,99995.02327,112090.4165649414,102813.54866027832,109725.29907226562
12,105060.42,100003.5638,100003.5638,111373.71337890624,100273.35176086426,108181.44989013672
13,106250.75,100003.3538,100003.3538,111732.66418457033,101532.6011505127,109087.98645019533
14,108028.62,100004.3288,100004.3288,112312.9778137207,103156.35383605956,110247.40997314452
15,110134.9,100004.2168,100004.2168,116523.69827270508,104181.83039855956,113098.39080810548
16,110743.24,99999.33781,99999.33781,116512.001663208,104565.99922180176,113108.86505126952
17,110302.34,99991.07578,99991.07578,116006.79618835448,104601.20600891112,112980.04913330078
18,110512.46,100002.3808,100002.3808,116800.3582763672,104547.3052520752,113211.25122070312
19,111884.15,100003.2408,100003.2408,118578.8432006836,107558.96784973145,115555.6411743164
20,112737.39,100017.8148,100017.8148,118891.5058441162,112188.5174407959,117127.38677978516
21,110992.22,100006.4188,100006.4188,118406.4168701172,111466.52186584473,116467.40234375
22,111266.4,100003.0608,100003.0608,116509.92587280272,110538.85957336426,115167.35870361328
23,110204.2,100004.7888,100004.7888,116028.9680480957,112534.2003326416,115715.04699707033
24,111098.88,100006.0388,100006.0388,116325.34405517578,111917.22691345216,115715.97564697266
25,111515.46,100015.5548,100015.5548,115193.03421020508,111466.52186584473,115106.19903564452
26,111666.85,100028.3258,100028.3258,114693.23583984376,111554.04032897948,115056.47674560548
27,112347.98,100030.1738,100030.1738,115524.23034667967,111912.849319458,115633.01544189452
28,111788.9,100034.9588,100034.9588,115918.63189697266,112647.9776763916,116007.81463623048
29,110982.06,100031.1488,100031.1488,115776.52346801758,113037.41645812988,116165.84930419922
30,112642.55,100024.7008,100024.7008,118015.19340515137,112455.44374084473,117252.0785522461
31,111231.12,100023.1008,100023.1008,115936.25999450684,112363.56105041504,116138.67889404295
32,112170.21,100036.5318,100036.5318,115471.14024353027,113054.92683410645,116252.4234008789
33,112231.48,100048.2958,100048.2958,113994.76252746582,111295.86253356934,114757.83721923828
34,107965.45,100015.3608,100015.3608,111462.7960205078,107458.32997131348,111670.98083496094
35,110608.1,100033.9368,100033.9368,114890.38973999023,108504.13383483888,113757.04010009766
36,109347.26,100003.2638,100003.2638,115470.44833374023,108552.2673187256,114024.64752197266
37,110209.22,100002.5038,100002.5038,117924.18937683104,109239.26219177246,115450.15106201172
38,109767.64,100010.2258,100010.2258,118083.21272277832,108412.24446105956,115104.02130126952
39,110850.76,100015.8658,100015.8658,119025.8888092041,110530.10438537598,116498.07098388672
40,112637.76,100013.4878,100013.4878,120727.3316192627,114883.98585510254,119232.2592163086
41,112302.25,100007.2718,100007.2718,118037.1464996338,115115.89808654784,118146.21124267578
42,111703.74,100003.4878,100003.4878,118616.47448730467,113225.57948303224,117615.29022216795
43,112689.31,100011.7598,100011.7598,119271.1641998291,113720.027053833,118119.66400146484
44,113410.04,100030.2098,100030.2098,122492.80966186523,115137.79273986816,120226.37725830078
45,116364.1,100054.2678,100054.2678,126896.6481628418,117758.85542297363,123530.06256103516
46,117846.69,100099.1058,100099.1058,126048.85391235352,117841.99629211426,123523.9370727539
47,118990.22,100127.9538,100127.9538,129392.95678710938,118148.30757141112,125068.23516845705
48,115724.4,100127.9538,100127.9538,129392.95678710938,118148.30757141112,125068.23516845705
