Time_Step,Agent_Value,Market_Value
0,101927.84484863281,102600.37
1,102198.60076904297,103005.71
2,102291.94885253906,103434.14
3,102736.39556884766,103456.81
4,104068.09112548828,103921.39
5,104149.60815429688,102465.27
6,103307.34741210938,101371.695
7,108921.08917236328,103592.39
8,109588.9926147461,104998.08
9,109722.15576171875,104846.37
10,109306.32507324219,104898.555
11,109725.29907226562,105719.36
12,108181.44989013672,105060.43
13,109087.98645019531,106250.75
14,110247.40997314453,108028.63
15,113098.39080810547,110134.91
16,113108.86505126953,110743.234
17,112980.04913330078,110302.34
18,113211.25122070312,110512.47
19,115555.6411743164,111884.13
20,117127.38677978516,112737.39
21,116467.40234375,110992.22
22,115167.35870361328,111266.414
23,115715.04699707031,110204.19
24,115715.97564697266,111098.875
25,115106.19903564453,111515.45
26,115056.47674560547,111666.84
27,115633.01544189453,112347.97
28,116007.81463623047,111788.91
29,116165.84930419922,110982.06
30,117252.0785522461,112642.555
31,116138.67889404297,111231.11
32,116252.4234008789,112170.22
33,114757.83721923828,112231.47
34,111670.98083496094,107965.45
35,113757.04010009766,110608.1
36,114024.64752197266,109347.26
37,115450.15106201172,110209.23
38,115104.02130126953,109767.63
39,116498.07098388672,110850.75
40,119232.2592163086,112637.75
41,118146.21124267578,112302.25
42,117615.29022216797,111703.74
43,118119.66400146484,112689.31
44,120226.37725830078,113410.03
45,123530.06256103516,116364.09
46,123523.9370727539,117846.69
47,125068.23516845703,118990.22
48,125068.23516845703,115724.4
