Episode,Reward,Moving_Avg_Window_500
1,191116.12954711914,191116.12954711914
2,286350.0543060303,238733.0919265747
3,-3866.7421264648438,157866.48057556152
4,176607.73443603516,162551.79404067993
5,162263.05535888672,162494.0463043213
6,182580.23782348633,165841.7448908488
7,89905.4719543457,154993.7058999198
8,233238.39596557617,164774.29215812683
9,-185435.43228149414,125862.10055372451
10,-3643.0421447753906,112911.58628387451
11,-5676.258758544922,102130.87309820001
12,-112296.78839111328,84261.9013074239
13,51832.81381225586,81767.3561154879
14,177500.48669433594,88605.4368711199
15,-180027.67056274414,70696.56304219564
16,-151426.41973876953,56813.876618385315
17,-3808.677978515625,53247.8439950382
18,-7463.323165893555,49875.00137498644
19,159297.30709838867,55634.070097270764
20,37215.54586791992,54713.14388580322
21,174137.45935058594,60400.016050792874
22,90788.83215332031,61781.32587363503
23,205943.01287841797,68049.2253086256
24,90425.70713806152,68981.57871818542
25,64735.05993652344,68811.71796691895
26,189839.78582763672,73466.64365386963
27,214206.3736114502,78679.22624489114
28,-188154.08403015137,69149.46516363962
29,134745.3606109619,71411.39259285762
30,119939.28739929199,73028.98908640543
31,37147.130615234375,71871.50978088379
32,-117251.60417175293,65961.41246986389
33,-153758.9662322998,59303.21917585893
34,196319.25999450684,63333.102729348575
35,-16347.38688659668,61056.51731175014
36,-152886.29138183594,55113.66151470608
37,-139346.2359161377,49857.98861116976
38,161096.18139648438,52785.3094739412
39,80375.02673339844,53492.73812161959
40,145415.04698181152,55790.79584312439
41,-189772.568069458,49801.44550379311
42,65236.1330871582,50168.9380653018
43,-113489.77900695801,46362.92138920274
44,102766.74438476562,47644.826457283714
45,-112450.56967163086,44087.15098775228
46,-104885.39462280273,40848.61738752282
47,-111921.5140991211,37598.18905801976
48,-150053.71505737305,33688.774388949074
49,103509.03158569336,35113.6775970459
50,-122613.73556518555,31959.12933380127
51,88888.51554870605,33075.39180860332
52,103365.68672180176,34427.12824924175
53,120900.29052734375,36058.69734882859
54,95951.23849487305,37167.81848116274
55,174289.25030517578,39660.935423417526
56,118948.32595825195,41076.78168296814
57,96891.74572753906,42055.99157848693
58,96814.1199798584,43000.09724057954
59,125947.76721191406,44405.989951958094
60,-168198.92211914062,40862.574750773114
61,-101478.61502075195,38529.11262337106
62,-112945.57440185547,36085.97251006096
63,-138708.2691192627,33311.46073816693
64,72004.00619506836,33916.031760931015
65,-114609.88543701172,31631.017650193433
66,-162002.08041381836,28697.18283104174
67,-113969.36627197266,26567.831351892273
68,157430.82891845703,28492.287198459402
69,145585.00036621094,30189.28304147029
70,-86689.87741088867,28519.580749293735
71,253977.68128967285,31695.046954087808
72,120550.65490722656,32929.152620103625
73,-151882.15437316895,30397.49088046975
74,-198388.77500915527,27305.78458466401
75,96775.03453063965,28232.041250610353
76,-149850.8660736084,25888.845101607472
77,47117.25573730469,26164.538746226917
78,91418.94888305664,27001.133747981145
79,237397.48330688477,29664.378679106507
80,237569.73944091797,32263.195688629152
81,237355.06092834473,34795.19402492193
82,91191.5139465332,35482.95402396598
83,160751.01077270508,36992.20771973392
84,145259.75379943848,38281.10707782564
85,90395.60810852051,38894.21885465734
86,-111013.38276672363,37151.1072078971
87,121271.76663208008,38118.011339209545
88,-16364.991958618164,37498.88630173423
89,253914.34329223633,39930.52064994212
90,108782.28408813477,40695.54024369981
91,44907.23550415039,40741.82260919927
92,-107908.26025390625,39126.06083894813
93,184718.37260437012,40691.569567608574
94,144891.4312286377,41800.07873421527
95,144970.65251159668,42886.08477397718
96,97038.28915405273,43450.17023626963
97,157482.59384155273,44625.76223220039
98,93290.63143920898,45122.342530231086
99,145479.41207885742,46136.050303449534
100,-155358.82467651367,44121.1015536499
101,59216.05311584473,44270.556519612226
102,173863.42602539062,45541.07484810025
103,-164191.31491088867,43504.838054323656
104,212893.62016296387,45133.576343829816
105,-118859.56382751465,43571.73691362653
106,-183621.62672424316,41428.403294401345
107,103956.36367797852,42012.77675593011
108,-117567.7357788086,40535.17941764549
109,112025.5901184082,41191.054745175425
110,150694.04461669922,42186.53647128018
111,-62891.9608001709,41239.883342708556
112,190216.3212738037,42570.03010995047
113,200539.58158874512,43967.990742506176
114,175754.24868774414,45124.010549043356
115,157436.17239379883,46100.63804334558
116,93191.74938964844,46506.59589977922
117,-110224.11708068848,45167.01715635642
118,109417.13868713379,45711.50971170199
119,-117252.71911621094,44342.06241062709
120,157446.1710205078,45284.59664904277
121,81997.17852783203,45588.00641663607
122,157602.57734680176,46506.15863737513
123,275234.10707092285,48365.73545390803
124,-5363.175964355469,47932.4377811801
125,221546.4925994873,49321.35021972656
126,90699.18968200684,49649.7457710145
127,-86567.02297973633,48577.172788725125
128,-114883.57293701172,47300.135712742805
129,-112818.06161499023,46058.909376868905
130,-160717.86068725586,44468.3188379141
131,145065.0983734131,45236.23318551333
132,-121120.73518371582,43975.95312211008
133,14329.234298706055,43753.04546178373
134,193351.04360961914,44869.44843303623
135,104648.37492370605,45312.25529593009
136,-182412.8956604004,43637.8056565453
137,175793.76582336426,44602.44770155858
138,149060.30113220215,45359.388668447304
139,251527.47758483887,46842.61232971631
140,157603.55810546875,47633.76194240025
141,-45664.06622314453,46972.07521782192
142,-171656.91232299805,45432.4344604922
143,190029.92778015137,46443.60574244786
144,222485.0530090332,47666.115792910256
145,175358.30221557617,48546.75156134244
146,89750.4584197998,48828.96873160584
147,190405.68966674805,49792.07567674287
148,-152560.7176513672,48424.82707317455
149,-58006.5002746582,47710.52286278641
150,-163273.7027130127,46303.96135894775
151,-165547.40853881836,44900.97215432679
152,-248519.71701049805,42970.57288350557
153,14427.187377929688,42784.01480830573
154,90086.3285522461,43091.172689759886
155,109787.73677062988,43521.47310318486
156,125184.7130279541,44044.95541039491
157,91586.84912109375,44347.7700200172
158,-152393.8892364502,43102.56964497627
159,-151955.71769714355,41875.787963579285
160,135480.42834472656,42460.81696596146
161,-170858.34645080566,41135.853218031225
162,-113351.41891479492,40182.228081408844
163,52485.90057373047,40257.71073473597
164,162841.5780029297,41005.17334002983
165,-138214.57577514648,39918.9930423621
166,177826.35028076172,40749.76025464162
167,119937.61868286133,41223.93904762497
168,221617.54681396484,42297.710522424604
169,175800.99201965332,43087.67076797034
170,103424.46250915527,43442.59307233025
171,-148655.36839294434,42319.21318072046
172,53017.51139831543,42381.41258896229
173,118641.1555480957,42822.22035173185
174,145282.98664855957,43411.07533044925
175,150371.98358154297,44022.2805204555
176,4798.323059082031,43799.417125788605
177,-171569.28048706055,42582.64482289115
178,191978.32830810547,43421.94641550471
179,-8432.97314453125,43132.25412745982
180,96322.76274108887,43427.75695309109
181,145283.44897460938,43990.495583044234
182,156565.1739807129,44609.03777204241
183,-121266.97198486328,43702.61148921779
184,153437.1570739746,44298.99488913495
185,-118617.79132080078,43418.36361232448
186,194113.56549072266,44228.55286973523
187,16174.688293457031,44078.53220355192
188,-5024.056884765625,43817.348219039595
189,-63902.51480102539,43247.40185385406
190,177470.77938842773,43953.8406829834
191,-91982.5986328125,43242.131576617976
192,174350.50596618652,43924.98769323031
193,89579.67778015137,44161.54049160814
194,161779.15405273438,44767.816850170646
195,162726.5476989746,45372.73341862605
196,74303.78845214844,45520.34084226647
197,161850.11428833008,46110.84730645969
198,81283.43167114258,46288.486621432836
199,97236.92332458496,46544.50891642355
200,-91957.54612731934,45851.99864120483
201,16255.458068847656,45704.752170695596
202,26749.984909057617,45610.916689202335
203,157604.4624786377,46162.60903299266
204,84335.30953979492,46349.73011390836
205,-111010.94863891602,45582.11704682141
206,46750.972579956055,45587.791102807496
207,-203272.80549621582,44385.56599846439
208,-152867.73863220215,43437.23280312465
209,-127144.50646972656,42621.05223244115
210,48199.30780029297,42647.61535419282
211,-120498.26411437988,41874.41213396262
212,-121519.68417358398,41103.6852645874
213,174296.6484375,41729.00434051657
214,176484.1662902832,42358.70135897342
215,275078.38174438477,43441.1184770451
216,78746.88287353516,43604.57108999182
217,223326.0842590332,44432.780828097995
218,150672.5719909668,44920.11931967079
219,81443.15907287598,45086.891190689996
220,103862.57176208496,45354.053375105424
221,96816.18041992188,45586.913678475634
222,47035.005310058594,45593.43661375304
223,52574.25819396973,45624.740746399744
224,104115.37185668945,45885.85963528497
225,-114043.60415649414,45175.06201843262
226,237733.79917907715,46027.09182887795
227,94614.96548461914,46241.13532515874
