Time_Step,Agent_Value,Market_Value
0,1000003.009841919,1026003.75
1,1000006.6496429443,1030057.2
2,1000012.529296875,1034341.5
3,1000011.8493652344,1034568.06
4,1000004.6997070312,1039213.94
5,999968.7616882324,1024652.75
6,999944.9631195068,1013717.0
7,999943.6832122803,1035923.9
8,999953.0427398682,1049980.6
9,999906.6453399658,1048463.75
10,999920.8344268799,1048985.6
11,999950.2327423096,1057193.8
12,1000035.6380767822,1050604.2
13,1000033.5379486084,1062507.5
14,1000043.2880859375,1080286.2
15,1000042.16796875,1101349.0
16,999993.3780517578,1107432.4
17,999910.7578430176,1103023.4
18,1000023.8080749512,1105124.6
19,1000032.4079284668,1118841.5
20,1000178.1479797363,1127373.9
21,1000064.1878051758,1109922.2
22,1000030.608001709,1112664.0
23,1000047.8880310059,1102042.0
24,1000060.3880310059,1110988.8
25,1000155.5481262207,1115154.6
26,1000283.2580108643,1116668.5
27,1000301.7381134033,1123479.8
28,1000349.5879364014,1117889.0
29,1000311.4878082275,1109820.6
30,1000247.0077514648,1126425.5
31,1000231.0077514648,1112311.2
32,1000365.3179931641,1121702.1
33,1000482.9582214355,1122314.8
34,1000153.6080932617,1079654.5
35,1000339.3682250977,1106081.0
36,1000032.6379089355,1093472.6
37,1000025.0380249023,1102092.2
38,1000102.2578582764,1097676.4
39,1000158.6580047607,1108507.6
40,1000134.8779296875,1126377.6
41,1000072.7181091309,1123022.5
42,1000034.8778991699,1117037.4
43,1000117.5981140137,1126893.1
44,1000302.0977020264,1134100.4
45,1000542.6782073975,1163641.0
46,1000991.0578918457,1178466.9
47,1001279.5376281738,1189902.2
48,1001279.5376281738,1157244.0
