Episode,Reward,Moving_Avg_Window_500
1,2112.681930541992,2112.681930541992
2,86.0655746459961,1099.3737525939941
3,-1138.028564453125,353.5729802449544
4,5315.348846435547,1594.0169467926025
5,4592.162376403809,2193.646032714844
6,3887.496513366699,2475.95444615682
7,945.9043807983398,2257.3758653913223
8,58.13446807861328,1982.470690727234
9,-273.7898406982422,1731.7750761244033
10,-8443.54061126709,714.2435073852539
11,-37.999595642089844,645.8577707464045
12,-1426.31005859375,473.1771183013916
13,-2372.5590209960938,254.27433835543118
14,2287.2872009277344,399.4895428248814
15,721.1747894287109,420.93522593180336
16,3156.77872467041,591.9254446029663
17,-45.86109161376953,554.4085895313937
18,-1447.7276992797852,443.17879570855035
19,-132.62166595458984,412.8735082525956
20,-1463.4358520507812,319.0580402374268
21,-1218.9953689575195,245.8174017043341
22,-351.8044128417969,218.65277377041903
23,-4828.021858215332,-0.7678624028744905
24,-1526.2416076660156,-64.32926845550537
25,1351.868637084961,-7.681352233886718
26,2573.9120483398438,91.61070163433368
27,3443.9809494018555,215.7725626627604
28,-3831.3923873901367,71.23095730372837
29,1021.8162841796875,104.00976167876145
30,2351.876625061035,178.93865712483725
31,1339.7525482177734,216.38426651493197
32,1200.5000457763672,247.1378846168518
33,-4215.157035827637,111.91682642156428
34,-3302.1033096313477,11.504469478831572
35,1566.8664855957031,55.9433842250279
36,83.94657897949219,56.721250745985245
37,-984.1999816894531,28.588244463946367
38,885.0831756591797,51.127584758557774
39,1058.4735870361328,76.95696943234175
40,1437.1965637207031,110.96295928955078
41,4968.411529541016,229.43731466153773
42,-3277.778160095215,145.93218431018647
43,524.3517227172852,154.7326386917469
44,-983.9083786010742,128.8544337532737
45,349.4045104980469,133.75554656982422
46,2517.162757873535,185.56874681555706
47,814.0382461547852,198.9404382908598
48,1971.5109558105469,235.86899073918661
49,1779.2544555664062,267.3666532866809
50,477.2055969238281,271.5634321594238
51,-1143.3835067749023,243.81937453326057
52,2576.2192611694336,288.67321850703314
53,3270.556816101074,344.9351731786188
54,-2646.7647552490234,289.53332265218097
55,1761.4326400756836,316.2951284235174
56,1342.465560913086,334.6196004322597
57,-2678.6071166992188,281.75597381591797
58,-7016.8308029174805,155.91827076879042
59,2098.9427642822266,188.85088930291644
60,1399.3461456298828,209.02581024169922
61,1973.7579040527344,237.9558445664703
62,4864.297981262207,312.57426612607895
63,3299.9474716186523,359.9928884354849
64,2325.1647186279297,390.6986982822418
65,1795.444076538086,412.310165640024
66,-5126.64778137207,328.38656038226503
67,-2320.71883392334,288.8476739000918
68,1746.673095703125,310.2862830442541
69,-1187.6570510864258,288.57695936120075
70,2300.26033782959,317.3152933393206
71,1083.4488983154297,328.10590749391366
72,-1115.799560546875,308.0516648822361
73,5725.230674743652,382.2595965241733
74,1096.233627319336,391.9078942376214
75,-2270.4988861083984,356.40913716634117
76,1283.9173126220703,368.6131921065481
77,-1667.3422012329102,342.17221297226945
78,-476.03985595703125,331.682314652663
79,1382.311782836914,344.98142184486875
80,3723.281608581543,387.21017417907717
81,802.7015228271484,392.33969700189283
82,2282.5480422973633,415.39101828598393
83,2426.2682571411133,439.61845489869637
84,2857.3891220092773,468.40143903096515
85,1314.4156951904297,478.35454792695884
86,-165.75809478759766,470.86486603492915
87,-792.1833267211914,456.34707071589327
88,1851.4455108642578,472.2004620812156
89,1893.3918533325195,488.1689046795449
90,1123.4365768432617,495.2274343702528
91,-4033.011650085449,445.46656531030004
92,1598.5628128051758,458.00022017437476
93,2935.6834259033203,484.641975074686
94,-2127.9436264038086,456.84851122917013
95,-2715.207099914551,423.45845216449936
96,-873.6638031005859,409.9467620054881
97,1975.2786865234375,426.08420452629167
98,3533.112678527832,457.7885767099809
99,-4592.177436828613,406.77881899746984
100,-3237.622947692871,370.3348013305664
101,2311.09903717041,389.5502888141292
102,3295.8991470336914,418.04390507118376
103,-702.4314270019531,407.16550378892026
104,-2893.438720703125,375.428924707266
105,845.5647964477539,379.90640920003256
106,2143.050048828125,396.5398397625617
107,-1252.1634521484375,381.1313977820851
108,-2735.4270935058594,352.2743747146041
109,893.6094360351562,357.24075142396697
110,-706.7838516235352,347.5678004871715
111,2167.436309814453,363.9630122829128
112,-3201.5634155273438,332.12795489174977
113,2062.5623092651367,347.4415332490364
114,4005.478157043457,379.5295738086366
115,-751.3333587646484,369.695983090608
116,-655.5906829833984,360.85730493479764
117,-2384.632972717285,337.3915760659764
118,3311.553237915039,362.59633591215487
119,4902.875587463379,400.7499430680475
120,-1661.4878692626953,383.5646279652913
121,-1498.9074783325195,368.0070072520863
122,1759.6541061401367,379.4139506855949
123,350.4822998046875,379.1787340117664
124,-3602.465621948242,347.06869888305664
125,0.9229888916015625,344.299533203125
126,3291.4449615478516,367.689576285226
127,2660.8267822265625,385.745774757205
128,1703.6091003417969,396.04158198833466
129,344.0144500732422,395.6382708882177
130,3375.1902618408203,418.55790158785305
131,1633.2685775756836,427.8305021679128
132,-4510.2977294921875,390.42043980685145
133,-6393.036758422852,339.41700222617703
134,-2953.1180114746094,314.84584540751445
135,1987.7243957519531,327.23753837302877
136,1022.8189315795898,332.35210744072407
137,2422.4545288085938,347.6083294945042
138,2333.1082077026367,361.9960097713747
139,-5471.585182189941,320.0277997572645
140,2438.692672729492,335.1611202784947
141,1119.4285354614258,340.723300528019
142,-1473.6629104614258,327.9459328449948
143,-4968.844009399414,290.9054437383905
144,-1499.2493896484375,278.473812950982
145,5847.638969421387,316.88184851284683
146,3171.8440322875977,336.4363840181534
147,7632.23014831543,386.06763411541374
148,5122.748565673828,418.07223500432195
149,8562.766357421875,472.7346116648424
150,1489.526725769043,479.5132257588704
151,-3221.597785949707,455.002556807158
152,749.523193359375,456.94019257394893
153,2568.5278396606445,470.74141902549593
154,465.9573059082031,470.7103533559031
155,-1831.4816131591797,455.85750195903165
156,633.0078277587891,456.99308097056854
157,-577.5115127563477,450.4038797366391
158,-4461.797546386719,419.31399729282043
159,-718.2282943725586,412.1596432571891
160,878.9022674560547,415.076784658432
161,2018.8815612792969,425.0383050101144
162,1222.6926727294922,429.96209740344386
163,-3602.3302993774414,405.22410723914396
164,1506.5572509765625,411.9395532375429
165,-1035.1207122802734,403.16949102228335
166,-3222.02237701416,381.33098579314816
167,1346.6123352050781,387.1111136339382
168,1013.573127746582,390.8400541941325
169,780.6505661010742,393.1466252705049
170,-1224.3771896362305,383.6317793004653
171,2553.3253326416016,396.3200456942731
172,2038.5071411132812,405.86764508624407
173,-3413.4956665039062,383.7904005105785
174,5378.011268615723,412.492819292792
175,-7516.362594604492,367.18507407052175
176,1752.9293823242188,375.0586212765087
177,1760.2612762451172,382.8846249768963
178,3864.9799194335938,402.44695809182156
179,1097.7423858642578,406.3312900905503
180,1575.1280822753906,412.8246056026883
181,-1718.4585342407227,401.0495606311777
182,2135.7266845703125,410.58075361985425
183,1680.8262252807617,417.521985705433
184,-1035.4548568725586,409.6253724305526
185,4899.8222579956055,433.89670694712044
186,-1166.3019409179688,425.29348841021135
187,-3843.374267578125,402.4663881108085
188,-3349.8415145874023,382.50730352198826
189,4495.445335388184,404.2688804101692
190,-3298.5370559692383,384.78042811343545
191,-3333.5325469970703,365.312820913904
192,3952.11669921875,383.9940911134084
193,-694.6856231689453,378.40507704976926
194,-5197.005508422852,349.6658472277455
195,-1004.1640167236328,342.72312997671276
196,3002.3952407836914,356.2928856440953
197,262.8769302368164,355.8186929770533
198,181.43534088134766,354.9379689765699
199,6991.582992553711,388.28794396941987
200,325.56517791748047,387.97433013916014
201,-2939.5196228027344,371.4196338558672
202,523.5730438232422,372.17286855867593
203,3654.1736068725586,388.3403598804192
204,-1873.2010879516602,377.2543723910463
205,-1485.5243759155273,368.16764678955076
206,-4357.013328552246,345.2298750645906
207,3193.845703125,358.9913041856554
208,7294.480026245117,392.3349999647874
209,3668.0284576416016,408.00817440343246
210,-3429.14461517334,389.7360182625907
211,-1306.4335098266602,381.6973001199876
212,-1495.721549987793,372.84155082702637
213,-3695.3541412353516,353.7420405356537
214,1754.1615371704102,360.2860568750684
215,-3131.6924057006836,344.04429658401847
216,-2909.825523376465,328.98008445457174
217,-2958.9056549072266,313.8285372685727
218,-4049.008934020996,293.81552134522605
219,1190.1073760986328,297.90817821624614
220,1822.737045288086,304.83921852111814
221,2175.899574279785,313.30555497251487
222,1974.4287567138672,320.78809191729573
223,-2592.216377258301,307.72529160709126
224,3484.7754287719727,321.90855114800587
225,2183.3206481933594,330.1814938015408
226,3326.7370223999023,343.4405890608256
227,147.7374496459961,342.5784606933594
228,-2762.311698913574,328.96052139683775
229,-2474.2523498535156,316.71941715556983
230,646.635871887207,318.15383652396827
231,2789.4344940185547,328.852021188447
232,-7160.222213745117,296.571528796492
233,-2337.162971496582,285.26794725016975
234,-1987.6246643066406,275.55473096146545
235,2947.6201782226562,286.9252222264067
236,386.36910247802734,287.3465946003542
237,931.5586547851562,290.0647889471255
238,-1284.4148025512695,283.4493284786449
239,1639.0664825439453,289.12136678017333
240,1900.565040588379,295.83571542104085
241,-184.31776428222656,293.8433773309858
242,438.1438522338867,294.43966028513
243,-6747.971336364746,265.4585450725791
244,-3639.5173568725586,249.45454547444328
245,2914.217239379883,260.3311278985471
246,-5876.66349029541,235.38399530426273
247,2473.8395080566406,244.44656823038574
248,-2029.5465240478516,235.27724124539284
249,2309.802444458008,243.608667764319
250,1800.884033203125,249.83776922607422
251,3955.043876647949,264.5995465464801
252,-120.98697662353516,263.0694412958054
253,-1604.6991271972656,255.6869568353585
254,2521.6451416015625,264.60805205097347
255,1328.3844299316406,268.77972412109375
256,5445.711532592773,289.00211399793625
257,1012.2819519042969,291.8164324333696
258,-4829.652732849121,271.96577675398004
259,-2058.765090942383,262.9668158748435
260,2891.750015258789,273.0775204878587
261,1567.8373184204102,278.03828599717883
262,-3158.007614135742,264.9236069890379
263,2271.627471923828,272.5536597074211
264,3284.2558975219727,283.96162272944593
265,2042.197982788086,290.59647691834647
266,533.5910491943359,291.50999034795547
267,2370.7985610961914,299.2975879912073
268,2414.1741943359375,307.18891861189655
269,2805.993797302246,316.47815607914697
270,3947.934944152832,329.9279960349754
271,1148.0786590576172,332.9470021715903
272,4300.527359008789,347.53369465996235
273,3821.2965393066406,360.25810068430917
274,2170.5963821411133,366.8651747042245
275,-4112.418182373047,350.5768715875799
276,2671.6789321899414,358.98666166222614
277,-1008.2911071777344,354.0506408360891
278,-507.1644592285156,350.95274479269125
279,4789.243576049805,366.860597234473
280,4639.951271057129,382.1216353552682
281,-1612.7351608276367,375.0225008492792
282,-781.0686492919922,370.9228868416861
283,5987.052017211914,390.76786610094484
284,3840.5458755493164,402.9149717680165
285,-3333.7686309814453,389.8038012320535
286,-1937.3233261108398,381.666993094491
287,26.526718139648438,380.4295705336727
288,-5224.066009521484,360.96951643625897
289,-2456.8403549194336,351.2193092689382
290,-2351.3724517822266,341.900027334279
291,-8100.589668273926,312.8880352531512
292,-2580.629898071289,302.97872726231407
293,-3804.369400024414,288.9604742681614
294,-4006.6322631835938,274.34961461696497
295,-1088.487678527832,269.72982718257583
296,-7066.504989624023,244.94525009876972
297,4403.815010070801,258.94817858352405
298,436.2137145996094,259.5430293755243
299,895.4219207763672,261.66971463104557
300,2847.4322967529297,270.2889232381185
301,-3276.994071960449,258.50392989858835
302,1011.692253112793,260.99793096883405
303,731.6102905273438,262.5511070729876
304,-5.9521636962890625,261.66787262966756
305,2594.4772567749023,269.3164279875208
306,3386.1041259765625,279.5020086999033
307,3998.4391021728516,291.615810307307
308,5322.090972900391,307.9485218741677
309,-2116.248764038086,300.10322321425747
310,-1062.4298248291016,295.7079553173434
311,3929.2479934692383,307.39136380014696
312,1981.8411254882812,312.7581899594038
313,4340.018257141113,325.624835541454
314,125.78361511230469,324.9883985337178
315,-2696.3891220092773,315.3967238653274
316,4862.215171813965,329.7853898398484
317,-1191.2257461547852,324.98724745500726
318,-2504.0053329467773,316.0910443719828
319,-5565.019271850586,297.6549618759873
320,1071.3146057128906,300.0726482629776
321,259.4595718383789,299.9461277756736
322,-1955.2040634155273,292.9425557533406
323,268.0094299316406,292.8653634133354
324,1153.8148651123047,295.522614961789
325,630.6248474121094,296.5536987539438
326,3865.11824798584,307.50021577612756
327,2487.7007904052734,314.167495820865
328,867.9700927734375,315.85591837254964
329,-266.44869232177734,314.0859955436915
330,761.4868927001953,315.44175583810517
331,2358.9756774902344,321.6155743325225
332,1611.3636474609375,325.50035768531893
333,-4143.983978271484,312.07848280256576
334,-3108.7905807495117,301.83635985779904
335,1823.2798461914062,306.3779822050636
336,1913.9613494873047,311.1624565124512
337,62.515525817871094,310.42463179228923
338,4376.110862731934,322.45328928027635
339,-148.1502914428711,321.06507812770064
340,6294.023452758789,338.6326027589686
341,4111.269775390625,349.696054878123
342,-2182.476234436035,342.2920423362687
343,2246.9083404541016,347.8448595319475
344,2021.5955352783203,352.71041382190793
345,-628.1377105712891,349.8673757801885
346,5662.07869720459,365.22058769181973
347,-3326.3163452148438,354.58215272667087
348,3897.6586303710938,364.7634069727755
349,-6281.560394287109,345.71949923277583
350,3967.4224700927734,356.06722200666155
351,38.46162414550781,355.16236275349587
352,-1304.7135696411133,350.4468061273748
353,448.1312255859375,350.7235325281073
354,3213.396614074707,358.8101796511203
355,1879.7467803955078,363.0945081039214
356,-3967.8456420898438,350.92894588427595
357,2761.673797607422,357.68173258378056
358,2992.134895324707,365.040540300934
359,1793.446517944336,369.01938703531675
360,3632.4940185546875,378.0845943450928
361,2362.9666748046875,383.5828826566152
362,1877.0090026855469,387.70836917603214
363,-26.066001892089844,386.568494875569
364,-1670.0510559082031,380.91844116462454
365,3084.3892974853516,388.3252106339964
366,1380.081672668457,391.0349277433802
367,2972.9082946777344,398.07000503747923
368,764.8979415893555,399.0668200824572
369,1486.2011947631836,402.0129836994781
370,-2308.947120666504,394.686064498489
371,3371.9845581054688,402.71112782357517
372,-3226.974395751953,392.9539086741786
373,-5446.308479309082,377.2990497251618
374,1915.7207946777344,381.41247685070346
375,167.60459899902344,380.8423225097656
376,1402.1349258422852,383.55852624203294
377,-2667.286735534668,375.46609849196216
378,1999.4080657958984,379.76224126260746
379,2373.800811767578,385.0235567520665
380,-1444.6610870361328,380.20859716315016
381,-3789.6925048828125,369.2639748480689
382,-2273.2350540161133,362.3464381232936
383,7410.914474487305,380.75001001980536
384,2323.018997192383,385.8080021739006
385,1761.0733489990234,389.38011995786195
386,378.1343688964844,389.35098588775475
387,1278.8150939941406,391.6493427562467
388,3577.6301879882812,399.8606335944736
389,-1985.1245422363281,393.72956630442013
390,3179.77645111084,400.87327626546227
391,-122.30708312988281,399.5352190803079
392,1862.463508605957,403.2671790025672
393,-871.6437454223633,400.0231308488142
394,2168.8269577026367,404.512480663164
395,1087.8687744140625,406.24249659671057
396,-3622.9631958007812,396.06773474722195
397,-1017.8009185791016,392.5063527489189
