Time_Step,Agent_Value,Market_Value
0,1002429.5174865723,1026003.75
1,1003492.1224060059,1030057.2
2,1004733.643951416,1034341.5
3,1004237.4640350342,1034568.06
4,1005554.8486785889,1039213.94
5,998322.2238616943,1024652.75
6,993723.5569610596,1013717.0
7,1010683.7343292236,1035923.9
8,1018562.133605957,1049980.6
9,1029379.495513916,1048463.75
10,1024453.0823974609,1048985.6
11,1031324.8072509766,1057193.8
12,1021429.9825134277,1050604.2
13,1043011.1387634277,1062507.5
14,1072029.5245513916,1080286.2
15,1100888.9365081787,1101349.0
16,1116874.9648742676,1107432.4
17,1118411.1172027588,1103023.4
18,1113778.2804870605,1105124.6
19,1130938.2399291992,1118841.5
20,1142033.1360321045,1127373.9
21,1128874.1827087402,1109922.2
22,1138951.939819336,1112664.0
23,1121568.2458496094,1102042.0
24,1133577.7681732178,1110988.8
25,1132513.209564209,1115154.6
26,1129931.591506958,1116668.5
27,1139029.2318725586,1123479.8
28,1124794.4147949219,1117889.0
29,1114133.7608032227,1109820.6
30,1139502.9695892334,1126425.5
31,1116810.2533111572,1112311.2
32,1124006.6834259033,1121702.1
33,1120206.1973114014,1122314.8
34,1077591.1296081543,1079654.5
35,1109988.5679473877,1106081.0
36,1103067.5720367432,1093472.6
37,1118069.6321258545,1102092.2
38,1109062.5173950195,1097676.4
39,1126557.4752502441,1108507.6
40,1152239.818572998,1126377.6
41,1144194.632095337,1123022.5
42,1137258.94430542,1117037.4
43,1148527.5638580322,1126893.1
44,1146390.0605926514,1134100.4
45,1181285.7447357178,1163641.0
46,1187310.224319458,1178466.9
47,1195487.0467681885,1189902.2
48,1195487.0467681885,1157244.0
