Time_Step,Agent_Value,Market_Value
0,1003906.0560760498,1026003.75
1,1004959.2207183838,1030057.2
2,1006676.4359893799,1034341.5
3,1004072.9995880127,1034568.06
4,1006448.6194000244,1039213.94
5,991345.8055877686,1024652.75
6,983603.6949920654,1013717.0
7,999851.4641876221,1035923.9
8,1011866.1227416992,1049980.6
9,1016882.9202423096,1048463.75
10,1014864.9961242676,1048985.6
11,1026761.8255157471,1057193.8
12,1016126.896484375,1050604.2
13,1024870.626739502,1062507.5
14,1041187.7048950195,1080286.2
15,1060011.5223388672,1101349.0
16,1072899.2707977295,1107432.4
17,1070015.2908325195,1103023.4
18,1072872.2385864258,1105124.6
19,1081051.8858642578,1118841.5
20,1080847.7579956055,1127373.9
21,1067136.2992401123,1109922.2
22,1073109.3939819336,1112664.0
23,1059254.5770874023,1102042.0
24,1061963.7062988281,1110988.8
25,1062702.3156433105,1115154.6
26,1058564.069732666,1116668.5
27,1053285.7114868164,1123479.8
28,1053343.8610839844,1117889.0
29,1039350.3625946045,1109820.6
30,1053760.2016296387,1126425.5
31,1041635.6438446045,1112311.2
32,1048796.6620788574,1121702.1
33,1056438.9873504639,1122314.8
34,1016947.1197967529,1079654.5
35,1039514.1986541748,1106081.0
36,1029694.8002929688,1093472.6
37,1041613.129119873,1102092.2
38,1035289.545135498,1097676.4
39,1046443.0261535645,1108507.6
40,1066724.5659179688,1126377.6
41,1062539.635192871,1123022.5
42,1059984.1052093506,1117037.4
43,1065851.3435668945,1126893.1
44,1070534.587310791,1134100.4
45,1096495.735900879,1163641.0
46,1103826.315750122,1178466.9
47,1110434.1480407715,1189902.2
48,1110434.1480407715,1157244.0
