Episode,DDQN,DQN,MDA2C,MDREINFORCE,DDPG
1,2112.681930541992,2112.681930541992,95756.96002197266,91430.40615844728,191116.1295471192
2,1099.3737525939941,1099.3737525939941,178832.20446014404,173466.52850341797,238733.09192657474
3,353.5729802449544,353.5729802449544,151737.67697143555,160354.0283610026,157866.48057556155
4,1594.0169467926025,1594.0169467926025,157654.27432250977,169118.03746032715,162551.79404067993
5,2193.646032714844,2193.646032714844,142054.2076171875,142849.97121582032,162494.0463043213
6,2475.95444615682,2475.95444615682,160535.92965952554,156166.22855377197,165841.74489084881
7,2257.3758653913223,2257.3758653913223,136887.0796835763,149699.23515319824,154993.7058999198
8,1982.470690727234,1982.470690727234,135706.55176734924,145720.7163772583,164774.29215812683
9,1731.7750761244033,1731.7750761244033,96351.64896816677,127155.28516133626,125862.10055372452
10,714.2435073852539,714.2435073852539,97397.91054534912,127210.34927825928,112911.58628387454
11,645.8577707464045,645.8577707464045,79390.97634055397,123826.6537322998,102130.87309820004
12,473.1771183013916,473.1771183013916,65781.35076777141,108419.66098912556,84261.90130742392
13,254.27433835543118,254.27433835543118,59687.58854675293,105160.67330815241,81767.35611548793
14,399.4895428248814,399.4895428248814,62141.57333265032,118575.2301047189,88605.43687111992
15,420.93522593180336,420.93522593180336,53661.93300170898,91976.8690633138,70696.56304219566
16,591.9254446029663,591.9254446029663,47390.14684486389,77052.76148986816,56813.87661838532
17,554.4085895313937,554.4085895313937,44877.99483983657,77712.63534635656,53247.84399503821
18,443.17879570855035,443.17879570855035,41628.487157185875,79203.01195356582,49875.001374986445
19,412.8735082525956,412.8735082525956,38875.44335857191,80010.5760959826,55634.07009727078
20,319.0580402374268,319.0580402374268,36570.09118881226,84284.68362770081,54713.143885803234
21,245.8174017043341,245.8174017043341,34833.75735982259,86259.35256449382,60400.01605079289
22,218.65277377041903,218.65277377041903,33838.87550700794,85587.7520495328,61781.32587363504
23,-0.7678624028744905,-0.7678624028744905,32045.47699173637,87256.44967651367,68049.22530862561
24,-64.32926845550537,-64.32926845550537,30869.821793238323,90820.81135686238,68981.57871818544
25,-7.681352233886718,-7.681352233886718,29499.691311645507,90677.75534973145,68811.71796691895
26,91.61070163433371,91.61070163433371,28351.043869018555,98841.33042966403,73466.64365386964
27,215.7725626627604,215.7725626627604,27174.792674311884,100615.2636633979,78679.22624489114
28,71.23095730372839,71.23095730372839,24617.791191101074,89087.01015690395,69149.46516363962
29,104.00976167876146,104.00976167876146,23958.665920915275,90977.66256871716,71411.39259285764
30,178.93865712483725,178.93865712483725,23228.58810272217,91321.19193522136,73028.98908640543
31,216.38426651493197,216.38426651493197,22332.218729326803,93807.44612466135,71871.50978088379
32,247.1378846168518,247.1378846168518,20591.91487646103,87538.45942544937,65961.41246986389
33,111.91682642156428,111.91682642156428,18401.255833943684,82231.00207103383,59303.21917585894
34,11.504469478831558,11.504469478831558,17883.585740930896,89411.95693879969,63333.102729348575
35,55.94338422502789,55.94338422502789,17530.113808768136,87391.51501159668,61056.51731175014
36,56.72125074598523,56.72125074598523,16709.400397406684,82394.48392868042,55113.66151470609
37,28.588244463946356,28.588244463946356,15766.19889790303,76878.69901749895,49857.98861116977
38,51.12758475855776,51.12758475855776,16510.406448765803,77508.06975916812,52785.309473941204
39,76.95696943234174,76.95696943234174,15850.465421236479,79969.8519881811,53492.7381216196
40,110.96295928955078,110.96295928955078,16021.523920631409,80295.00375442505,55790.79584312439
41,229.43731466153773,229.43731466153773,14811.151072618439,71403.95467879133,49801.44550379312
42,145.93218431018647,145.93218431018647,15094.413314092726,72175.09602828253,50168.9380653018
43,154.7326386917469,154.7326386917469,13954.715347467467,69205.83987781614,46362.92138920275
44,128.8544337532737,128.8544337532737,13951.17777373574,71061.62627861717,47644.82645728372
45,133.75554656982422,133.75554656982422,13372.180160183376,68415.03306952583,44087.150987752284
46,185.56874681555706,185.56874681555706,12845.638085075047,63376.85539544147,40848.61738752283
47,198.9404382908598,198.9404382908598,11691.245348828905,60847.498505287986,37598.189058019765
48,235.86899073918661,235.86899073918661,10901.702751318613,54224.500355402626,33688.77438894908
49,267.3666532866809,267.3666532866809,12155.984754757006,57677.04292453065,35113.677597045906
50,271.5634321594238,271.5634321594238,10655.507109527587,54716.66013641357,31959.129333801273
51,243.81937453326057,243.81937453326057,11852.60568820729,55142.29038313324,33075.39180860333
52,288.67321850703314,288.67321850703314,12177.176107406616,56983.024058708776,34427.12824924176
53,344.9351731786188,344.9351731786188,13101.41281516597,60725.906359114735,36058.69734882859
54,289.53332265218097,289.53332265218097,14188.190616042526,61583.59014270924,37167.81848116274
55,316.2951284235174,316.2951284235174,14984.31577023593,62878.277474975584,39660.935423417526
56,334.6196004322597,334.6196004322597,16212.110914366585,64086.40468352182,41076.78168296814
57,281.75597381591797,281.75597381591797,17149.267578526546,65884.23047276547,42055.99157848693
58,155.91827076879042,155.91827076879042,18054.083032936884,67620.06226927659,43000.09724057954
59,188.85088930291644,188.85088930291644,18867.820453579145,68492.00005198333,44405.989951958094
60,209.02581024169922,209.02581024169922,17394.95986671448,65026.61225814819,40862.574750773114
61,237.9558445664703,237.9558445664703,16848.65280939321,61272.09679125176,38529.11262337106
62,312.57426612607895,312.57426612607895,16443.637192141625,59509.07800219136,36085.97251006096
63,359.9928884354849,359.9928884354849,15752.618872142973,56632.909180171904,33311.46073816693
64,390.6986982822418,390.6986982822418,16703.0599950552,56752.55340218544,33916.031760931015
65,412.310165640024,412.310165640024,16319.445922264686,55140.43614783654,31631.017650193437
